Geo Point,NOMBDEP,NOMBPROV,NOMBDIST,CAPITAL,POBLACION
-9.35563066576|-77.0627108313,ANCASH,HUARI,RAHUAPAMPA,RAHUAPAMPA,743
-9.62815176877|-77.0918966411,ANCASH,HUARI,SAN MARCOS,SAN MARCOS,19037
-9.98584840704|-77.6922724761,ANCASH,HUARMEY,COCHAPETI,COCHAPETI,824
-9.14870738569|-77.8187221299,ANCASH,HUAYLAS,PUEBLO LIBRE,PUEBLO LIBRE,7109
-9.13932843531|-77.0074396115,ANCASH,ANTONIO RAYMONDI,CHINGAS,CHINGAS,1990
-9.96578785047|-77.1309659823,ANCASH,BOLOGNESI,AQUIA,AQUIA,2280
-9.9171830208|-76.9438141392,ANCASH,BOLOGNESI,HUALLANCA,HUALLANCA,7027
-9.29003360601|-77.6100098164,ANCASH,CARHUAZ,ACOPAMPA,ACOPAMPA,2789
-9.6367724866|-77.7178843311,ANCASH,HUARAZ,LA LIBERTAD,CAJAMARQUILLA,1149
-9.80759299596|-77.7961470719,ANCASH,AIJA,CORIS,CORIS,1758
-9.78608420493|-77.6787442097,ANCASH,AIJA,HUACLLAN,HUACLLAN,374
-12.0709235313|-75.2860683614,JUNIN,CHUPACA,CHUPACA,CHUPACA,22101
-12.0355891727|-75.3426526418,JUNIN,CHUPACA,HUACHAC,HUACHAC,3257
-11.8456037368|-75.2486676757,JUNIN,HUANCAYO,QUICHUAY,QUICHUAY,1981
-11.8206164063|-75.5406016524,JUNIN,JAUJA,PARCO,PARCO,1219
-11.9149666048|-75.8000061399,JUNIN,JAUJA,CANCHAYLLO,CANCHAYLLO,1757
-11.7656306034|-75.6187190606,JUNIN,JAUJA,JANJAILLO,JANJAILLO,581
-11.7749638823|-75.3646619659,JUNIN,JAUJA,MASMA CHICCHE,MASMA CHICCHE,769
-11.7684415021|-75.6691602404,JUNIN,JAUJA,CURICACA,EL ROSARIO,1543
-11.7246231849|-75.8212406971,JUNIN,YAULI,CHACAPALPA,CHACAPALPA,711
-11.7096217454|-76.0981386542,JUNIN,YAULI,YAULI,YAULI,5823
-11.5576036474|-75.9864540803,JUNIN,YAULI,SANTA ROSA DE SACCO,SANTA ROSA DE SACCO,9374
-11.4555534773|-75.758776679,JUNIN,TARMA,TARMA,TARMA,52153
-11.4401201002|-75.9922732878,JUNIN,YAULI,PACCHA,PACCHA,1724
-11.3609886074|-75.8226319944,JUNIN,TARMA,LA UNION,LETICIA,3792
-11.3491345086|-75.6568310225,JUNIN,TARMA,ACOBAMBA,ACOBAMBA,10385
-11.3171399905|-75.5051625897,JUNIN,TARMA,PALCA,PALCA,6166
-11.1795996637|-74.611853339,JUNIN,SATIPO,SATIPO,SATIPO,42549
-11.1031720179|-74.6909678113,JUNIN,SATIPO,RIO NEGRO,RIO NEGRO,33656
-11.2650184159|-75.2366029511,JUNIN,CHANCHAMAYO,VITOC,PUCARA,1910
-11.1568008228|-75.4050893627,JUNIN,CHANCHAMAYO,SAN RAMON,SAN RAMON,29494
-11.0914165725|-76.1819948036,JUNIN,JUNIN,ONDORES,ONDORES,1288
-12.8695687545|-76.3452769096,LIMA,CAÑETE,QUILMANA,QUILMANA,17138
-11.3870831352|-77.1711049835,LIMA,HUARAL,HUARAL,HUARAL,111809
-11.501130715|-77.2918328739,LIMA,HUARAL,CHANCAY,CHANCAY,64072
-11.3943983984|-76.8554252626,LIMA,HUARAL,SUMBILCA,SUMBILCA,888
-12.0615574025|-76.589121791,LIMA,HUAROCHIRI,ANTIOQUIA,ANTIOQUIA,1424
-11.8137060577|-76.5753035274,LIMA,HUAROCHIRI,CALLAHUANCA,CALLAHUANCA,923
-12.0694576324|-76.2725738345,LIMA,HUAROCHIRI,HUAROCHIRI,HUAROCHIRI,1515
-11.8074226462|-76.9729546072,LIMA,LIMA,CARABAYLLO,CARABAYLLO,360561
-12.4662357218|-76.7759877776,LIMA,LIMA,PUCUSANA,PUCUSANA,15507
-12.3036242455|-76.7094313776,LIMA,LIMA,PUNTA NEGRA,PUNTA NEGRA,7836
-13.9615496205|-73.9945561312,AYACUCHO,VICTOR FAJARDO,CANARIA,CANARIA,4075
-14.9519808848|-73.3630283386,AYACUCHO,PARINACOCHAS,PACAPAUSA,PACAPAUSA,638
-14.9558839082|-74.3744848785,AYACUCHO,LUCANAS,SAISA,SAISA,848
-14.7917832364|-74.254357644,AYACUCHO,LUCANAS,SAN CRISTOBAL,SAN CRISTOBAL,1880
-14.6539917726|-74.1864031541,AYACUCHO,LUCANAS,SAN JUAN,SAN JUAN,1028
-14.4921394958|-74.6602107444,AYACUCHO,LUCANAS,OTOCA,OTOCA,2083
-14.2497892187|-74.9405470271,AYACUCHO,LUCANAS,LLAUTA,LLAUTA,906
